CALL  LAT     LON      ELEV(M) BEGIN    END
EGBC  +52.450 -001.250 +0134.0 19730101 19790629
EGTC  +52.072 -000.617 +0109.1 19900208 20171126
EGWZ  +52.367 -000.217 +0047.9 19990515 20050710
EGUY  +52.357 -000.108 +0041.1 19501003 20151004
EGPI  +55.682 -006.257 +0017.1 20040510 20171126
EGSC  +52.205 +000.175 +0014.3 19770201 20171126
EGUN  +52.367 +000.483 +0010.0 19990101 20171126
EGUN  +52.362 +000.486 +0010.1 19930701 20071231
EGUL  +52.417 +000.567 +0010.0 19990102 20171126
EGUL  +52.409 +000.561 +0009.8 19930701 20071231
EGUL  +52.400 +000.567 +0010.0 19490501 19950525
EGUW  +52.127 +000.956 +0086.6 19730101 20171126
EGXN  +52.967 -000.983 +0055.0 19950210 20011103
EGVG  +52.083 +001.400 +0029.0 19541001 20070307
EGVJ  +52.133 +001.433 +0026.0 19930104 19930331
EGVJ  +52.133 +001.433 +0025.9 19450101 19921229
EGOP  +51.717 -004.367 +0003.0 19930301 20171126
EGFH  +51.605 -004.068 +0091.1 19770126 19990127
EGTG  +51.519 -002.591 +0068.9 19940718 20121221
EGBJ  +51.894 -002.167 +0030.8 19771001 20171126
EGBP  +51.668 -002.057 +0132.0 19880105 19920331
EGVA  +51.682 -001.790 +0087.2 19520610 20171126
EGVN  +51.750 -001.584 +0087.8 19510801 20171126
EGUA  +51.933 +001.250 +0133.0 19511101 19931215
EGUB  +51.616 -001.096 +0068.9 19730101 20171126
EGUO  +51.439 -002.286 +0180.7 19420401 20171119
EGWU  +51.553 -000.418 +0037.8 19730101 20171126
EGGW  +51.875 -000.368 +0160.3 19880105 20171126
EGSS  +51.885 +000.235 +0106.1 19730101 20171126
EGVT  +51.967 +000.500 +0101.0 19740117 19770617
EGVT  +51.967 +000.500 +0101.0 19890304 19900122
EGMC  +51.571 +000.696 +0014.9 19880105 20171126
EGDC  +51.087 -004.150 +0008.2 19730101 20171126
EGFF  +51.397 -003.343 +0067.1 19730101 20171126
EGDX  +51.405 -003.436 +0049.7 20010706 20171126
EGGD  +51.383 -002.719 +0189.6 19880105 20171126
EGDL  +51.505 -001.993 +0156.4 19730101 20171126
EGVI  +51.383 -001.283 +0122.0 19760428 19920417
EGDJ  +51.300 -001.767 +0175.0 19730101 20040827
EGDM  +51.152 -001.747 +0124.1 19310101 20171126
EGVP  +51.150 -001.567 +0091.0 19730809 20171126
EGVO  +51.234 -000.943 +0123.4 19730101 20171126
EGRR  +51.383 -000.783 +0074.0 19730101 20151107
EGUF  +51.283 -000.767 +0072.0 19291001 20051011
EGKB  +51.331 +000.033 +0182.3 19880105 20171126
EGLF  +51.276 -000.776 +0072.5 19880501 20171126
EGLC  +51.505 +000.055 +0005.8 19880129 20171126
EGLL  +51.478 -000.461 +0025.3 19481201 20171126
EGKK  +51.148 -000.190 +0061.6 19730101 20171126
EGRB  +51.500 -000.117 +0039.0 19920401 20100201
